Well,Temperature,Value
A04,70,3892.151515
A04,71,3807.227273
A04,72,3729.060606
A04,73,3706.787879
A04,74,3679.30303
A04,75,3678.484848
A04,76,3682.5
A04,77,3701.287879
A04,78,3797.106061
A04,79,4016.69697
A04,80,4436.818182
A04,81,5553.363636
A04,82,7861.045455
A04,83,10817.43939
A04,84,12513.45455
A04,85,12858.06061
A04,86,12675.12121
A04,87,12289.28788
A04,88,11835.60606
A04,89,11356.86364
A04,90,10862.07576
A04,91,10382.16667
A04,92,9914.575758
A04,93,9476.863636
A04,94,9087.090909
A04,95,8725.575758
A05,26,3634.015152
A05,27,3607.666667
A05,28,3554.772727
A05,29,3514.545455
A05,30,3426.651515
A05,31,3342
A05,32,3290.106061
A05,33,3265.075758
A05,34,3233.590909
A05,35,3192.257576
A05,36,3159.181818
A05,37,3148.045455
A05,38,3127.681818
A05,39,3105.30303
A05,40,3099.666667
A05,41,3108.318182
A05,42,3167.060606
A05,43,3175.242424
A05,44,3184.818182
A05,45,3229.409091
A05,46,3261.969697
A05,47,3288.19697
A05,48,3346.212121
A05,49,3389.090909
A05,50,3446.530303
A05,51,3477.454545
A05,52,3501.242424
A05,53,3526.575758
A05,54,3523.80303
A05,55,3509.939394
A05,56,3488.19697
A05,57,3464.272727
A05,58,3443.727273
A05,59,3441.106061
A05,60,3425.848485
A05,61,3402.166667
A05,62,3382.454545
A05,63,3356.984848
A05,64,3347.984848
A05,65,3337.80303
A05,66,3336.924242
A05,67,3333.272727
A05,68,3348.090909
A05,69,3358.878788
A05,70,3382.393939
A05,71,3414.757576
A05,72,3468.045455
A05,73,3569.060606
A05,74,3730.909091
A05,75,4138.954545
A05,76,5038.060606
A05,77,6841.590909
A05,78,9564.469697
A05,79,12283.5303
A05,80,13574.30303
A05,81,13842.28788
A05,82,13609.51515
A05,83,13294.40909
A05,84,12933.60606
A05,85,12561.59091
A05,86,12165.77273
A05,87,11762.12121
A05,88,11331.36364
A05,89,10937.74242
A05,90,10556.51515
A05,91,10160.81818
A05,92,9726.848485
A05,93,9315.318182
A05,94,8908.833333
A05,95,8537.621212
A06,26,17743.18182
A06,27,17652.5303
A06,28,17654.18182
A06,29,17316.59091
A06,30,17263
A06,31,17143.45455
A06,32,17055.68182
A06,33,16985.01515
A06,34,16913.68182
A06,35,16969.51515
A06,36,16942.09091
A06,37,17079.25758
A06,38,17237.81818
A06,39,17241.06061
A06,40,17304.65152
A06,41,17413.62121
A06,42,17678.66667
A06,43,17621.63636
A06,44,17770.42424
A06,45,17919.68182
A06,46,18143.65152
A06,47,18325.12121
A06,48,18351.86364
A06,49,18365.25758
A06,50,18492.78788
A06,51,18475.27273
A06,52,18368.51515
A06,53,18201.34848
A06,54,18092.77273
A06,55,18034
A06,56,17624.36364
A06,57,17468.60606
A06,58,17182.22727
A06,59,17030.21212
A06,60,16902.75758
A06,61,16760.25758
A06,62,16709.12121
A06,63,16483.39394
A06,64,16642.63636
A06,65,16879.75758
A06,66,16909.63636
A06,67,17229.92424
A06,68,17687.43939
A06,69,18124.54545
A06,70,18699.42424
A06,71,19582.09091
A06,72,20874.51515
A06,73,22147.30303
A06,74,23473.59091
A06,75,25455.07576
A06,76,27495.62121
A06,77,30603.87879
A06,78,34537.48485
A06,79,38340.69697
A06,80,39416.42424
A06,81,39003.5303
A06,82,37948.56061
A06,83,36672.13636
A06,84,35367.25758
A06,85,34111.39394
A06,86,32866.40909
A06,87,31460.40909
A06,88,30193.83333
A06,89,28869.81818
A06,90,27633.71212
A06,91,26427.5
A06,92,25336.21212
A06,93,24144.72727
A06,94,23019.39394
A06,95,21798.4697
A07,26,49175.84848
A07,27,49584.93939
A07,28,49213.39394
A07,29,48793.16667
A07,30,48478.25758
A07,31,47866.13636
A07,32,47371.80303
A07,33,46930.09091
A07,34,46263.62121
A07,35,45647.0303
A07,36,44346.30303
A07,37,43616.37879
A07,38,42531.31818
A07,39,41742.48485
A07,40,41075.01515
A07,41,40352.74242
A07,42,39649.93939
A07,43,38614.90909
A07,44,37797.71212
A07,45,37237.74242
A07,46,36566.19697
A07,47,35843.27273
A07,48,35408
A07,49,34633.56061
A07,50,34091.13636
A07,51,33354.37879
A07,52,32974.27273
A07,53,32414.07576
A07,54,32044.13636
A07,55,31606.12121
A07,56,31121.24242
A07,57,30841.39394
A07,58,30403.4697
A07,59,30074.93939
A07,60,29800.92424
A07,61,29599.4697
A07,62,29459.22727
A07,63,29161.68182
A07,64,28971.10606
A07,65,28864.45455
A07,66,28842.25758
A07,67,28698
A07,68,28813.43939
A07,69,28810.31818
A07,70,29322.98485
A07,71,30218.92424
A07,72,32085.81818
A07,73,35487.84848
A07,74,39876.75758
A07,75,45861.31818
A07,76,49504.57576
A07,77,51335.74242
A07,78,52107.28788
A07,79,52558.89394
A07,80,52423.90909
A07,81,52315.89394
A07,82,51873.31818
